Starting Downloading
[youtube] Uy0qxuXpYe4: Downloading webpage
[download] Destination: KAPITAN BOMBA - Pensjonat Bekas [SHORT]-Uy0qxuXpYe4.mp4

[download]   0.0% of 5.49MiB at 112.01KiB/s ETA 00:50
[download]   0.1% of 5.49MiB at 336.03KiB/s ETA 00:16
[download]   0.1% of 5.49MiB at 371.39KiB/s ETA 00:15
[download]   0.3% of 5.49MiB at 92.48KiB/s ETA 01:00 
[download]   0.6% of 5.49MiB at 63.52KiB/s ETA 01:28 
[download]   1.1% of 5.49MiB at 68.58KiB/s ETA 01:21 
[download]   2.3% of 5.49MiB at 73.64KiB/s ETA 01:14 
[download]   3.7% of 5.49MiB at 81.47KiB/s ETA 01:06 
[download]   5.4% of 5.49MiB at 77.04KiB/s ETA 01:09 
[download]   6.6% of 5.49MiB at 78.52KiB/s ETA 01:06 
[download]   8.2% of 5.49MiB at 79.68KiB/s ETA 01:04 
[download]   9.7% of 5.49MiB at 77.96KiB/s ETA 01:05 
[download]  10.9% of 5.49MiB at 78.84KiB/s ETA 01:03 
[download]  12.5% of 5.49MiB at 79.64KiB/s ETA 01:01 
[download]  14.0% of 5.49MiB at 78.65KiB/s ETA 01:01 
[download]  15.3% of 5.49MiB at 79.38KiB/s ETA 01:00 
[download]  16.8% of 5.49MiB at 78.65KiB/s ETA 00:59 
[download]  18.1% of 5.49MiB at 79.32KiB/s ETA 00:58 
[download]  19.7% of 5.49MiB at 78.87KiB/s ETA 00:57 
[download]  21.0% of 5.49MiB at 79.58KiB/s ETA 00:55 
[download]  22.6% of 5.49MiB at 79.25KiB/s ETA 00:54 
[download]  24.0% of 5.49MiB at 78.99KiB/s ETA 00:54 
[download]  25.3% of 5.49MiB at 78.74KiB/s ETA 00:53 
[download]  26.6% of 5.49MiB at 79.32KiB/s ETA 00:52 
[download]  28.3% of 5.49MiB at 79.16KiB/s ETA 00:50 
[download]  29.6% of 5.49MiB at 78.94KiB/s ETA 00:50 
[download]  31.0% of 5.49MiB at 79.43KiB/s ETA 00:48 
[download]  32.6% of 5.49MiB at 79.30KiB/s ETA 00:47 
[download]  34.0% of 5.49MiB at 79.17KiB/s ETA 00:46 
[download]  35.3% of 5.49MiB at 79.05KiB/s ETA 00:46 
[download]  36.7% of 5.49MiB at 78.86KiB/s ETA 00:45 
[download]  38.0% of 5.49MiB at 79.25KiB/s ETA 00:44 
[download]  39.6% of 5.49MiB at 79.12KiB/s ETA 00:42 
[download]  41.0% of 5.49MiB at 79.11KiB/s ETA 00:41 
[download]  42.4% of 5.49MiB at 79.17KiB/s ETA 00:40 
[download]  43.8% of 5.49MiB at 79.22KiB/s ETA 00:39 
[download]  45.3% of 5.49MiB at 79.26KiB/s ETA 00:38 
[download]  46.7% of 5.49MiB at 79.27KiB/s ETA 00:37 
[download]  48.1% of 5.49MiB at 79.23KiB/s ETA 00:36 
[download]  49.5% of 5.49MiB at 79.17KiB/s ETA 00:35 
[download]  50.9% of 5.49MiB at 79.11KiB/s ETA 00:34 
[download]  52.2% of 5.49MiB at 79.04KiB/s ETA 00:33 
[download]  53.6% of 5.49MiB at 79.38KiB/s ETA 00:32 
[download]  55.3% of 5.49MiB at 79.31KiB/s ETA 00:31 
[download]  56.7% of 5.49MiB at 79.26KiB/s ETA 00:30 
[download]  58.0% of 5.49MiB at 79.19KiB/s ETA 00:29 
[download]  59.4% of 5.49MiB at 79.12KiB/s ETA 00:28 
[download]  60.7% of 5.49MiB at 79.02KiB/s ETA 00:27 
[download]  62.1% of 5.49MiB at 79.29KiB/s ETA 00:26 
[download]  63.7% of 5.49MiB at 79.23KiB/s ETA 00:25 
[download]  65.1% of 5.49MiB at 79.17KiB/s ETA 00:24 
[download]  66.5% of 5.49MiB at 79.10KiB/s ETA 00:23 
[download]  67.8% of 5.49MiB at 79.35KiB/s ETA 00:22 
[download]  69.5% of 5.49MiB at 79.29KiB/s ETA 00:21 
[download]  70.9% of 5.49MiB at 79.23KiB/s ETA 00:20 
[download]  72.2% of 5.49MiB at 79.17KiB/s ETA 00:19 
[download]  73.6% of 5.49MiB at 79.10KiB/s ETA 00:18 
[download]  74.9% of 5.49MiB at 79.33KiB/s ETA 00:17 
[download]  76.6% of 5.49MiB at 79.27KiB/s ETA 00:16 
[download]  77.9% of 5.49MiB at 79.22KiB/s ETA 00:15 
[download]  79.3% of 5.49MiB at 79.14KiB/s ETA 00:14 
[download]  80.6% of 5.49MiB at 79.13KiB/s ETA 00:13 
[download]  82.0% of 5.49MiB at 79.16KiB/s ETA 00:12 
[download]  83.5% of 5.49MiB at 79.19KiB/s ETA 00:11 
[download]  84.9% of 5.49MiB at 79.21KiB/s ETA 00:10 
[download]  86.3% of 5.49MiB at 79.22KiB/s ETA 00:09 
[download]  87.8% of 5.49MiB at 79.22KiB/s ETA 00:08 
[download]  89.2% of 5.49MiB at 79.19KiB/s ETA 00:07 
[download]  90.5% of 5.49MiB at 79.16KiB/s ETA 00:06 
[download]  91.9% of 5.49MiB at 79.12KiB/s ETA 00:05 
[download]  93.3% of 5.49MiB at 79.08KiB/s ETA 00:04 
[download]  94.6% of 5.49MiB at 79.25KiB/s ETA 00:03 
[download]  96.3% of 5.49MiB at 79.20KiB/s ETA 00:02 
[download]  97.6% of 5.49MiB at 79.15KiB/s ETA 00:01 
[download]  99.0% of 5.49MiB at 79.10KiB/s ETA 00:00 
[download] 100.0% of 5.49MiB at 79.29KiB/s ETA 00:00 
[download] 100% of 5.49MiB in 01:11                  
